Systematic ORF Name	Common Gene Name	Probe bp position	Probe No.	Average WT fluorescent intensity value	Average spt6 fluorescent intensity value	Average spt6/WT ratio	Ratio of spt6/WT to Probe No. 1 spt6/WT	spt6 short transcript gene?
YAL001C	TFC3	1	1	204.52882224439	71.8717652843823	0.375580643020834	1	Yes
YAL001C	TFC3	685	2	235.524401858489	113.208178107529	0.49551005407353	1.31931733778421	Yes
YAL001C	TFC3	1370	3	215.397630662104	158.219037118808	0.765915953045518	2.03928495059057	Yes
YAL001C	TFC3	2054	4	264.074029572414	303.188774587692	1.18674447483168	3.15975942020485	Yes
YAL001C	TFC3	2739	5	143.148662758941	319.377198205101	1.98052264712446	5.27322875639946	Yes
YAL001C	TFC3	3424	6	248.186475370809	502.267131683122	1.78448231777764	4.75126274726211	Yes
YAL002W	VPS8	1	1	238.762669932164	138.279654474825	0.551200864777752	1	Yes
YAL002W	VPS8	754	2	279.852780152937	234.964889152672	0.812058888063858	1.47325401673905	Yes
YAL002W	VPS8	1507	3	257.502836227505	324.13644332655	1.25758248459037	2.28153213275062	Yes
YAL002W	VPS8	2260	4	194.770439091872	309.337961012519	1.56480500637275	2.8389015808306	Yes
YAL002W	VPS8	3013	5	183.804157929591	330.369217035683	1.63902444334322	2.97355201720173	Yes
YAL002W	VPS8	3766	6	496.657141542576	1346.32443807307	2.61346129927096	4.74139549894343	Yes
YAL003W	EFB1	1	1	9714.16395518809	1876.92414224217	0.194565788163999	1	No
YAL003W	EFB1	113	2	12401.7832546186	2734.92293292374	0.221937598914032	1.140681519646	No
YAL003W	EFB1	225	3	11874.3302548252	2829.62274854074	0.21072427331592	1.08304895379809	No
YAL003W	EFB1	337	4	14429.802399521	4393.82147629227	0.303620572954584	1.56050339486541	No
YAL003W	EFB1	449	5	6357.7039132769	2182.7839387444	0.328695227513452	1.68937833632085	No
YAL003W	EFB1	562	6	6369.90889602711	2322.37635725044	0.348086527029184	1.789042823581	No
YAL005C	SSA1	1	1	3976.58484403209	8171.39818230231	1.9893229894284	1	No
YAL005C	SSA1	374	2	5534.73235819516	9161.15418463088	1.64277605922175	0.825796548851915	No
YAL005C	SSA1	748	3	2679.46291549661	5880.12816572617	1.94712268450473	0.978786599688472	No
YAL005C	SSA1	1122	4	5477.12904764664	5733.10266269629	1.07968711114122	0.542740981167393	No
YAL005C	SSA1	1496	5	3542.92731953148	5282.21770053591	1.39276116379833	0.700118166431343	No
YAL005C	SSA1	1870	6	3557.6628235857	6388.36833000038	1.49111972642274	0.749561400711098	No
YAL007C	ERP2	1	1	2145.23176879886	1335.26983876971	0.632224310841163	1	No
YAL007C	ERP2	118	2	1974.41460513374	1260.78855230271	0.646207452538539	1.0221173742572	No
YAL007C	ERP2	236	3	1030.25217793897	661.220755431466	0.612009083700301	0.968025229662608	No
YAL007C	ERP2	353	4	1928.11701224097	1198.66414534822	0.618179151624045	0.977784531571664	No
YAL007C	ERP2	471	5	2296.14803942318	1591.15822764038	0.698826022684095	1.10534506614325	No
YAL007C	ERP2	589	6	2702.81353647607	1763.70884683585	0.61361303471524	0.970562226401637	No
YAL008W	FUN14	1	1	1087.47785944544	1278.85438801597	1.14783369774126	1	No
YAL008W	FUN14	108	2	2270.38008921551	2698.25290426238	1.12525269979272	0.980327291320182	No
YAL008W	FUN14	215	3	1342.98525207611	1658.54112493484	1.16430508039325	1.01434997307049	No
YAL008W	FUN14	323	4	1032.61861461533	1429.9612028652	1.37367132518754	1.19675117387709	No
YAL008W	FUN14	430	5	876.496833071826	896.189779406719	1.06491604549867	0.927761615288209	No
YAL008W	FUN14	538	6	545.214725393467	826.88956741108	1.32330526957729	1.15287194667775	No
YAL009W	SPO7	1	1	534.518546342299	396.872476086992	0.746581550616729	1	No
YAL009W	SPO7	145	2	479.46932124076	372.628562376673	0.768053587852843	1.02876047126851	No
YAL009W	SPO7	289	3	530.780553034907	420.629237146246	0.802410798615994	1.07477983879075	No
YAL009W	SPO7	433	4	704.282197313891	649.590646657995	0.902098387360311	1.20830522347507	No
YAL009W	SPO7	577	5	620.827577163692	608.05779964607	0.98792353195114	1.32326271809831	No
YAL009W	SPO7	721	6	756.050470319048	713.229237001294	0.934909105351747	1.25225315918863	No
YAL010C	MDM10	1	1	301.183400379592	270.440974769677	0.84093849726528	1	No
YAL010C	MDM10	285	2	337.692134785022	452.36815953764	1.32578483927417	1.57655386640712	No
YAL010C	MDM10	569	3	268.748239045988	374.538161400669	1.39268919905684	1.6561130256087	No
YAL010C	MDM10	854	4	197.64135349041	338.98928557941	1.73791740967497	2.06664032545382	No
YAL010C	MDM10	1138	5	159.748498613297	311.961865203814	1.90229155102546	2.26210544196952	No
YAL010C	MDM10	1423	6	347.626930132952	651.562502968518	1.88540105897846	2.24202015380406	No
YAL011W	SWC3	1	1	393.696882422687	142.821037566044	0.362702686930565	1	No
YAL011W	SWC3	364	2	283.417329584889	99.2627241050736	0.349888222081522	0.964669506703995	No
YAL011W	SWC3	728	3	175.514972467847	113.668759965184	0.651784101589425	1.79702032842729	No
YAL011W	SWC3	1091	4	375.062770151414	198.301294028202	0.520448694917888	1.43491822275229	No
YAL011W	SWC3	1455	5	130.400956216303	104.481858906588	0.775823665745702	2.1390072191393	No
YAL011W	SWC3	1819	6	342.950307850595	310.322006155319	0.883379275121203	2.4355465425331	No
YAL012W	CYS3	1	1	2801.40313659215	2655.031519167	1.00309087950429	1	No
YAL012W	CYS3	226	2	3059.10692067411	2292.4542297005	0.833510212775963	0.830941871575851	No
YAL012W	CYS3	451	3	2494.03283431735	2300.00692075731	0.938620177135143	0.935727954778125	No
YAL012W	CYS3	676	4	3480.37192380904	4178.48767246097	1.15826588446939	1.15469685562467	No
YAL012W	CYS3	901	5	2704.50746194364	2801.82939188327	1.06375740016388	1.06047958554819	No
YAL012W	CYS3	1126	6	3349.00720599678	3644.64935651113	1.11059945244378	1.10717730081707	No
YAL013W	DEP1	1	1	305.862545150791	129.659645438951	0.421301422643888	1	No
YAL013W	DEP1	241	2	259.206050726974	109.214612551704	0.42337767987854	1.00492819896411	No
YAL013W	DEP1	482	3	434.548526194975	257.005093245952	0.560944225222955	1.33145580592331	No
YAL013W	DEP1	722	4	455.371982546187	290.796927180597	0.678122399878456	1.60958962735725	No
YAL013W	DEP1	963	5	22.8431653996151	19.8168659555174	0.809307185101411	1.92096950450009	No
YAL013W	DEP1	1204	6	131.85762364322	126.133108736216	1.00401519438591	2.38312794693448	No
YAL014C	SYN8	1	1	502.271827908851	421.291412305458	0.831426820317016	1	No
YAL014C	SYN8	142	2	489.773453106408	347.744218952596	0.713786551846218	0.858507970159126	No
YAL014C	SYN8	284	3	752.027420624885	499.691143606703	0.65235895536251	0.784625825654471	No
YAL014C	SYN8	425	4	593.5609973184	526.628381419009	0.893116340642187	1.07419717384345	No
YAL014C	SYN8	567	5	391.182237624926	579.870963579814	1.49701870498209	1.80054175352593	No
YAL014C	SYN8	709	6	1010.5373646997	1203.72903106088	1.18823112924542	1.42914697987774	No
YAL015C	NTG1	1	1	175.888359414997	376.616433500349	1.96395013681605	1	No
YAL015C	NTG1	229	2	960.456583368315	1951.28424734682	1.96675272450952	1.00142701570724	No
YAL015C	NTG1	457	3	326.473275450327	509.565631232702	1.5523819477501	0.790438575119233	No
YAL015C	NTG1	685	4	240.091863077362	403.740466561491	1.68230301393211	0.856591510342238	No
YAL015C	NTG1	913	5	608.091056576507	897.133197675751	1.47549529197124	0.751289589441056	No
YAL015C	NTG1	1141	6	396.193094232236	860.725576426356	1.84070661308432	0.937247121797332	No
YAL016C-B		1	1	13.5287095553591	22.6102618875192	1.26297287915104	1	No
YAL016C-B		26	2	7.76574176125742	10.4170198872042	1.3211538584376	1.04606668935414	No
YAL016C-B		51	3	15.4415612988268	12.4588971976291	0.820911133189335	0.649983183915353	No
YAL016C-B		76	4	11.5416783583282	18.039775347065	1.18086764387374	0.934990500086989	No
YAL016C-B		101	5	8.41805695696207	18.2984371535137	1.81221525017777	1.43488057431282	No
YAL016C-B		127	6	14.8009580151914	24.7551534810849	1.47361410398866	1.16678206501094	No
YAL016W	TPD3	1	1	1774.83723813418	2172.55520367177	1.13620341855701	1	No
YAL016W	TPD3	370	2	1044.78616703696	1041.60916983835	1.00187971399334	0.881778471733289	No
YAL016W	TPD3	740	3	621.864615619941	602.161981652838	1.03262427796683	0.908837503127977	No
YAL016W	TPD3	1109	4	847.355484427435	963.644455199526	1.1369860238181	1.00068878974337	No
